type,name,image,traits,description,price
accessory,Button,icons/tools/fasteners/button.webp,Grants you the benefits of Partial Cover.,A round shield made of painted or rough wood. A relic of the past.,2
accessory,Coin,icons/commodities/currency/coin-embossed-insect-gold.webp,Grants you and one friend the benefits of Partial Cover.,A heavy shield made in the shape one of the Master's Coins. Nowadays it is mainly used by honor guards or during parades. In some regions of the Basement you can also find shields that offer the same benefits but are shaped like toothed cogs.,3
accessory,Cape,icons/equipment/back/cape-layered-green.webp,Once per combat you can React with Dexterity instead of another Skill.,Small cloak worn over one shoulder. It is often paired with a medium weapon to act as a defense instrument. A very dated accessory.,4
accessory,Ratador's Cloak,icons/equipment/back/cloak-collared-red-gold.webp,Allows you to make Duelist Moves when fighting beasts.,The rateta is a red or purple cape commonly used by ratadores from Umbral for their corridas against rats.,6
accessory,Spool,icons/commodities/cloth/thread-spindle-black.webp,"Used with needles, grants the Reach Trait.",A spool of thread worn at the hip or on the back and connected to the hilt of a dueling needle. It is the emblem of the tailoring style from Rosevault. Cannot be used at the same time as a cape.,3
accessory,Bayonet,/modules/household-csb/equipments/bayonet.webp,Transforms a musket or rifle into a melee weapon.,A pintip made to be fixed on the barrel of a musket or rifle. Perfect for infantry charges.,1
accessory,Light Armor,/modules/household-csb/equipments/light-armor.webp,Once per combat you can React with Strength instead of another Skill.,"A leather jacket which can be either stuffed or reinforced with chitin plates. Alternatively, a shiny or enameled cuirass like the ones used by the armies of the Realm and Upper Floor.",3
accessory,Heavy Armor,/modules/household-csb/equipments/heavy-armor.webp,Once per combat you can React with Strength instead of another Skill.,"A heavy and bulky set of armor, complete with guards for the arms and a helm with visor or plume. Commonly used in battle or during military parades. It's impossible to not get noticed when wearing this! A set of heavy armor poses a Hindrance when running, climbing, swimming, sneaking, or trying to go unnoticed. When you fill the Crucial Box during a fight or because of a physical danger, you do not suffer a Condition. When you become Overstressed, your armor breaks and you remove all Stress after the Crucial Box. Repairing a set of heavy armor costs 4 Coins.",6
accessory,Camouflage Cloak,icons/equipment/back/cape-layered-tattered-grey.webp,Helps you camouflage with the wild environments of a Room.,"A camouflage cloak is crafted using the Upholstery from a Room of the House and helps you when hiding inside that Room. The cloaks from the Living Room have a design and texture similar to the Carpet and its molds, while those from the Upper Floor are made out of mushroom and red wallpaper. Camouflage cloaks from the Basement are made in warm tones that resemble the rusty walls, while cloaks from the Dining Hall are crafted with the characteristic green wallpaper of the Realm.",3
dueling,Needle,/modules/household-csb/equipments/needle.webp,"Thrown, Dueling Weapon.","Extremely light dueling sword best suited for thrusting. It is chiefly used in the Free Dominions. The Mistress’ Needle, the inspiration for this peculiar sword, is still kept at the Rosevault Fencing Academia and has been recently declared a national treasure. Littlings who favor the dueling needle practice a clean and swift style, made of sudden and lethal strikes.",5
dueling,Pin,/modules/household-csb/equipments/pin.webp,"Pointed, Dueling Weapon.","Dueling sword characterized by a spherical guard. It is chiefly used in the Realm. The pin is considered the elegant weapon for excellence, skillfully wielded by the likes of the Duke of Faeriyev, host of the most important yearly fencing tournament in the House. Littlings who favor the dueling pin are known to prefer form to substance, but to never lack either.",5
dueling,Lancetta,/modules/household-csb/equipments/lancetta.webp,"Heavy, Dueling Weapon.","Flat and wide dueling sword suited for both cutting and thrusting. The dueling lancetta was first used as a weapon in the Horde, where the Fencing Academy of the Mirandola Gulf stands to this day. The lancetta (lit. Clock hand) is the heaviest of all dueling swords, but in the hands of a duelist looks as light as a rat’s whisker. Littlings who favor this weapon have an explosive and versatile style, suitable both for offense and defense.",5
dueling,Dueling Halfscissor,/modules/household-csb/equipments/dueling-halfscissor.webp,"Sharpened, Dueling Weapon.","Dueling saber best suited for cutting and for mounted combat. It is chiefly used in the lands of the Hearth, where dueling halfscissors are often longer to better fit the taller stature of locals, while also granting a larger reach. Littlings who favor this weapon embrace a modern style, partially sacrificing form to prefer a practical approach.",5
ranged,Pistol,/modules/household-csb/equipments/pistol.webp,Firearm.,"A classic single-shot gun, widespread throughout the House. Like modern pistols, its shape was inspired by the Master’s Weapon, which stands out above the Fireplace.",3
ranged,Portable Pistol,/modules/household-csb/equipments/portable-pistol.webp,Small Firearm. Can only shoot at Short Distance.,"This small ""pocket"" pistol doesn’t offer great firepower, but can be comfortably carried in your jacket or purse. That is, if you are the type of littling who feels comfortable traveling with a gun on you!",2
ranged,Precision Pistol,/modules/household-csb/equipments/precision-pistol.webp,Accurate Firearm.,"A last-generation pistol, extremely accurate. Among the most noteworthy models of this weapon we have the Feuerlang Precision Pistol, designed by Colonel Feuerlang of the Porcelain Army and outfitted with an extremely long and often embellished barrel. Another shining example of military craftsmanship is the Deringer V, latest creation of Veronica Deringer, a young boggart who has recently taken over the famous family business from her father.",4
ranged,Musket,/modules/household-csb/equipments/musket.webp,Two Handed Firearm. Gain +1 to shoot.,"A trusty household rifle. Among the many models, I’d like to name the historical Chesterfield musket, developed and produced in the Hearth town with the same name, reliably employed by many armies.",3
ranged,Hunting Rifle,/modules/household-csb/equipments/hunting-rifle.webp,"Two Handed, Accurate Firearm. Gain +1 to shoot.","A high-precision musket. The secret to its long range hides in the rifling inside the barrel, which could be the beginning of a true revolution in firearms. Le Fusil is a famous hunting rifle, invented by the fairy engineer Armand Le Fusil. But the most renowned of these extremely accurate contraptions is certainly the Alshara rifle, a jewel of military technology developed down in the Horde. It’s as beautiful as it is lethal!",5
ranged,Crossbow,/modules/household-csb/equipments/crossbow.webp,"Two Handed, Ranged Weapon.","Not really cutting-edge, but always reliable. Crossbows are silent and efficient weapons, perfect for littlings who prefer to keep a low profile. They can also be loaded with non-lethal wooden balls.",4
ranged,Folding Crossbow,/modules/household-csb/equipments/crossbow.webp,Small Ranged Weapon. Can only shoot at Short Distance.,"A handy crossbow about as large as a pistol, outfitted with a folding bow which allows it to be easily hidden. These many advantages, however, come at the expense of both range and power. It can also be loaded with non-lethal wooden balls.",3
ranged,Heavy Keysket,/modules/household-csb/equipments/heavy-keysket.webp,"Two Handed, Heavy, Sharp Weapon / Two Handed Firearm. Gain +1 to shoot.",A Heavy Keysket is best suited for close combat and can deal heavy damage thanks to the heft of the large metal bit. Hunters who favor this type of keysket love to face dangers head-first. They are usually more skilled in combat than they are in the subtle art of stakeout.,6
ranged,Long Keysket,/modules/household-csb/equipments/long-keysket.webp,"Two Handed, Reach Weapon / Two Handed, Accurate Firearm. Gain +1 to shoot.",Best suited for use at a distance. It has a much greater range thanks to the extremely long barrel which is clearly the source of its name. Hunters who favor this type of keysket prefer to stay far away from danger. They usually search for a hidden spot from which they can shoot their target without ever being sighted by large beasts.,6
melee,Double-Bitted Key,/modules/household-csb/equipments/double-bitted-key.webp,"Two Handed, Heavy, Sharp Weapon.","This heavy two handed key has two sharp blades. It is the trusted companion of many littlings in the Porcelain Infantry, and has recently returned into fashion thanks to Fenella Ramsay aka “the Tuberdam Dollar”, hero of the Battle of Quillwaters.",4
melee,Cocktail Spear,/modules/household-csb/equipments/cocktail-spear.webp,"Two Handed, Pointed, Reach Weapon.","A thin fork with only two tines. This is the preferred weapon of soldiers in the Great Imperial Army of the Realm and of the “blond knights”. The cocktail spear is a symbol of protection and war, a marvel of engineering and craftsmanship. The most expensive weapon of this kind was forged out of pure numismatic silver, and belongs to none-other than Grand General Ludmillen, “the Silver Star”.",4
melee,Cogpesh,/modules/household-csb/equipments/cogpesh.webp,"Sharpened, Throwing Weapon.","This sword, typical of the Horde, is characterized by a wide serrated blade shaped like a half-circle. There is also a duel variant of cogpesh, used by medjays from the Kashab Desert, and generally regarded as a precious relic.",3
