trait_name,trait_type,trait_desc,image
Armed,Oponnent Trait,<strong>Armed: </strong>Unarmed Characters suffer -1 to all Action and Reaction Rolls against an Armed Opponent.,icons/skills/targeting/crosshair-mark-rough-pink.webp
Armored,Oponnent Trait,"<strong>Armored: </strong>The Opponent is wearing heavy armor. Characters who attack with anything but a firearm, pointed, or ranged weapon suffer -1 to their Action Rolls.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Barrage,Oponnent Trait,"<strong>Barrage: </strong>The Opponent has two alternating lines of shooters: as the first line shoots, the other reloads. Characters always suffer 1 Stress when attacking with melee weapons. Characters who can rely on a shield or wide weapon may ignore this Trait.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Beast,Oponnent Trait,<strong>Beast: </strong>The Opponent is a beast or group of beasts.,icons/skills/targeting/crosshair-mark-rough-pink.webp
Cobweb,Oponnent Trait,"<strong>Cobweb: </strong>The Opponent shoots cobwebs at great speed. During their Reaction Turn, Characters outside of combat must make Reaction Rolls with Elusion + War. If they fail, they get trapped in sticky cobwebs that impede their every move. During their turn, Characters may get free from cobwebs with a Critical Action Roll in Strength + War. So long as they are trapped, Characters fail all Reaction Rolls without rolling the dice. Characters who can rely on a sharpened weapon may use their action to free a friend without rolling the dice. Boggart Characters who go juggernaut immediately break free from cobwebs without needing to use an action.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Counter-attack,Oponnent Trait,<strong>Counter-attack: </strong>Characters who fail their rolls to attack the Opponent immediately suffer 1 Stress.,icons/skills/targeting/crosshair-mark-rough-pink.webp
Crawling,Oponnent Trait,<strong>Crawling: </strong>Characters who try to leave combat suffer -1 to their roll unless they can rely on a sharpened weapon.,icons/skills/targeting/crosshair-mark-rough-pink.webp
Double Trouble,Oponnent Trait,"<strong>Double Trouble: </strong>The Difficulty of Reaction Rolls made against the Opponent is double the Opponent-s Difficulty. For example, if you are facing a Critical Opponent with the Double Trouble trait, all Reaction Rolls against them will have a Difficulty level of 2 Critical.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Filthy,Oponnent Trait,<strong>Filthy: </strong>The Opponent is disgustingly dirty and carries all kinds of sickness. Characters who fail to roll at least one Basic Success on their Reaction Turn immediately suffer the Sick Condition.,icons/skills/targeting/crosshair-mark-rough-pink.webp
Flying,Oponnent Trait,"<strong>Flying: </strong>The Opponent can fly. As such, they can only be hit by firearms, throwing, or ranged weapons, by melee weapons with the Reach Trait, or by flying Faeries.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Giant,Oponnent Trait,"<strong>Giant: </strong>The Opponent is a gigantic beast, as tall as ten littlings. Giant Opponents gain all benefits of both the Huge and Heavily Armored Traits. On top of that, they are large enough to need 2 Opponent Sheets and must be faced in as many phases. After defeating one part, you move on to the next.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Golden Cobweb,Oponnent Trait,"<strong>Golden Cobweb: </strong>See Cobweb. Cobwebs spun by golden silk orbweavers are extremely resistant. Anyone trying to break free from these cobwebs suffers -1. Additionally, trapped boggarts are unable to go juggernaut.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Hard to Kill,Oponnent Trait,"<strong>Hard to Kill: </strong>When the Opponent reaches a Crucial Box, they activate their Move as usual, but do not suffer any additional Stress from the attack. For example, if the Opponent stands to suffer 3 Stress because of a Character-s attack, the Narrator must fill only the Stress boxes up to the Crucial Box and ignore all further Stress.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Hardened Shell,Oponnent Trait,"<strong>Hardened Shell: </strong>The Opponent is protected by natural armor. Characters who attack with anything but a firearm, heavy, or ranged weapon suffer -1 to their Action Rolls.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Heavily Armored,Oponnent Trait,"<strong>Heavily Armored: </strong>The Opponent is wearing a unique set of heavy armor. This could be a porcelain cuirass or a suit of cinder armor. They can never take more than 1 Stress per attack. For clarity, Characters who roll an Impossible Success against a Heavily Armored Opponent only deal 1 Stress.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Huge,Oponnent Trait,"<strong>Huge: </strong>The Opponent is either a beast twice as tall as a littling, or a small group of beasts that are bigger than a littling. All Huge Opponents have the Hard to Kill and Armed Traits. Characters outside of combat can easily shoot Huge beasts without any Hindrance from their fellow Characters in melee. Characters suffer -1 to all rolls made to leave combat against a Huge Opponent. Finally, Characters suffer -1 to all rolls made to run away from a Huge Opponent, unless they can rely on a mount.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Large,Oponnent Trait,"<strong>Large: </strong>The Opponent is either a single beast taller than a littling, or a small group of beasts as big as a littling. All Large Opponents have the Hard to Kill and Armed Traits.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Littling,Oponnent Trait,"<strong>Littling: </strong>The Opponent is a littling or group of littlings. The Narrator can tailor these Opponents by giving them additional Traits depending on their native Folk. Fairy Opponents can fly as if they had the Flying Trait. Characters shooting at flying Faeries always gain +1 to their roll. Boggart Opponents can go juggernaut when reaching their last Crucial Box. When they do this, they immediately gain the Large and Hardened Shell Traits. Sluagh and Undine Opponents can ignore a single successful attack.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Nimble,Oponnent Trait,"<strong>Nimble: </strong>The Opponents movements are exceptionally quick and nimble. Characters who attack with two-handed weapons, firearms, ranged, or throwing weapons all suffer -1 to their Action Rolls.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Rust,Oponnent Trait,<strong>Rust: </strong>Janissaries undersign a Contract with Rust. Their weapons and even their bodies are covered in pinkish rust that makes them beyond venomous. Characters who fail to roll at least one Basic Success on their Reaction Turn immediately suffer the Poisoned and Sick Conditions.,icons/skills/targeting/crosshair-mark-rough-pink.webp
Shield,Oponnent Trait,"<strong>Shield: </strong>The Opponent can rely on a button, coin, or a natural shield. Characters who attack with firearms, ranged, or throwing weapons all suffer -1 to their Action Rolls.",icons/skills/targeting/crosshair-mark-rough-pink.webp
Shooters,Oponnent Trait,"<strong>Shooters: </strong>The Opponent can rely on one or more shooters. During their Reaction Turn, Characters outside of combat must make Reaction Rolls with Elusion + War.",icons/skills/targeting/crosshair-mark-rough-pink.webp
